,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_CH,NU_NOTA_LC,Inscritos,%_Média_Presença,NU_NOTA_REDACAO,Media_Nota_Geral,Inscritos_Representacao,SG_UF_PROVA,codigo_ibge
79,ITAPECERICA DA SERRA,485.79080962800873,531.645587162655,525.8176037483266,511.9364792503347,2191.0,65.38,608.5538039753255,532.7488567529301,0.43,SP,3522208
80,ITAPETININGA,506.63001474926256,561.360029498525,538.7541780821917,522.6537671232877,1972.0,71.4,618.4225352112676,549.564104932907,0.39,SP,3522307
81,ITAPEVA,487.607577092511,536.193832599119,516.7846217105263,505.585197368421,1941.0,60.565,592.2307039864291,527.6803865514013,0.38,SP,3522406
82,ITAPEVI,480.39894894894894,522.0322072072072,519.2649011299435,505.86878531073444,2252.0,61.015,594.0484937545922,524.3226672702853,0.44,SP,3522505
83,ITAPIRA,529.2541237113403,586.6664948453608,553.2531604538087,533.7649918962722,821.0,73.02000000000001,661.845140032949,572.9567821879463,0.16,SP,3522604
84,ITAQUAQUECETUBA,477.0879064460924,519.0717056474615,522.3047033671833,505.3023516835916,2923.0,61.99,598.6990077177509,524.493134972416,0.57,SP,3523107
85,ITARARÉ,484.1858181818182,529.6456363636363,524.0279513888888,511.3083333333333,809.0,69.595,606.8561278863233,531.2047734308001,0.16,SP,3523206
86,ITATIBA,523.5170921198668,583.8420643729189,549.0350580781416,533.5388595564942,1354.0,68.24000000000001,645.7692307692307,567.1404609793304,0.27,SP,3523404
87,ITAÍ,500.8055350553505,558.719926199262,523.9496598639456,515.4595238095238,405.0,69.75,601.5331010452961,540.0935491946756,0.08,SP,3521804
88,ITU,514.7679227941177,572.6711397058823,548.6820580474935,534.6034300791556,1525.0,72.95,653.3094170403588,564.8067935334016,0.3,SP,3523909
89,ITUPEVA,514.0957142857143,575.5722857142857,544.641847826087,527.44375,520.0,69.03999999999999,633.0919220055711,558.9691039663317,0.1,SP,3524006
90,ITUVERAVA,501.1088840736728,550.9188515709642,522.4964984552008,505.7610710607621,1275.0,74.275,676.2893081761006,551.31492266734,0.25,SP,3524105
91,ITÁPOLIS,506.87219251336904,559.5299465240643,531.5894871794872,518.8276923076922,476.0,80.25,644.5833333333334,552.2805303715893,0.09,SP,3522703
92,JABOTICABAL,509.8150339476237,557.4118331716779,530.2678504672897,519.6161682242991,1381.0,76.07,652.9981024667932,554.0217976555367,0.27,SP,3524303
93,JACAREÍ,514.307816091954,571.144459770115,545.0258092738408,530.4616797900262,3032.0,73.565,642.550516389762,560.6980562631395,0.59,SP,3524402
94,JAGUARIÚNA,512.7419734904271,566.3581737849779,539.6053072625699,526.6307262569832,1091.0,63.935,638.3954154727794,556.7463192535475,0.21,SP,3524709
95,JALES,506.9542168674698,568.5326807228915,525.3011396011397,520.1045584045585,895.0,76.315,650.5933429811867,554.2971877154492,0.18,SP,3524808
96,JANDIRA,483.3476368159204,526.3638059701492,524.6073085846867,511.52180974477955,1266.0,65.8,612.1052631578947,531.589164854686,0.25,SP,3525003
97,JARDINÓPOLIS,511.7142348754449,559.867615658363,541.571972318339,518.7979238754325,413.0,69.01,646.830985915493,555.7565465286145,0.08,SP,3525102
98,JAÚ,519.0455450472872,581.0888501742161,544.6862838158519,530.1859515899383,2695.0,76.36500000000001,685.3983582810237,572.0809977816634,0.53,SP,3525300
99,JOSÉ BONIFÁCIO,503.2768691588785,553.8668224299065,516.4997821350762,508.63289760348584,611.0,72.58500000000001,676.1333333333333,551.6819409321361,0.12,SP,3525706
